,Unnamed: 0,Unnamed: 0.1,category,url,question
500,500,2150,gagal-jantung,/komunitas/topic/penyebab-dada-sebelah-kiri-sakit-seperti-di-tusuk-tusuk,"
sy umur 65 th sy  bila sy jalan kaki selama 10menit dada sebelah kiri sy sakit seperti ditusuk jarum sampai ke punggung belakang, gigi pun ikut sakit,
setelah duduk sebentar dan diurut punggung belakang dibawah bahu agak hilang
trus pas tidur pun 2 jam trus bangun dada sy sakit lagi.  sy  kalau tidur terlentang sy mendengkur tapi bila miring kiri tdk ? jadi sy  apa penyebab sakit sy Ã¢Â dan apa obatnyaÃ¢Â 
atas jawaban dan saranya sy ucapkan trim."
1053,1053,1849,stroke,/komunitas/topic/bagaimana-mengatasinya-5," orang tua saya stroke kebetulan disisi kiri badan mengalami kelemahan buat jalan masih bisa walaupun pelan2 itu sudah 5 th berjalan, ini baru tiga hari kaki kiri posisi di betis sebelah kiri terasa sakit kalau badan dan kaki tegak lurus, kl badan membungkuk tdk terasa sakit. kira2 solusinya bgmn ?"
764,764,1270,hipertensi,/komunitas/topic/apa-obat-untuk-sakit-kepala-14, aku k apa sih obatnya orang sakit kepala kecuali obat karena saya sakit kepala hampir tiap hari
880,880,2565,serangan-jantung,/komunitas/topic/cara-mengatasi-keringat-dingin,", belakangan ini saya sering terkena keringat dingin. apa yang menyebabkan gangguan keringat dingin? apakah kebiasaan tidur malam berpengaruh? bagaimana cara mengatasinya?"
408,408,773,gagal-jantung,/komunitas/topic/mama-sy-umur-60-thn-punya-pnyakit-jantung-chf-chd,"
mama sya sdh menderita pnyakit jantung chf chd
dan mesti tiap minggu kontrol ke  spesialis jantung

boleh gak mama sya makan buah mangga  dgn pnyakit yg diderita nya

tks perhatiann
"
520,520,751,hipertensi,/komunitas/topic/menurunkan-dosis-irbesartan, .  menderita hipertensi. 1 bulan yg lalu mendapat obat irbesartan 300mg+hct 12.5. dua minggu kemudian dosis d turunkan oleh  menjadi 150 mg. peran saya. setelah dosisnya 150 mg bagaimana menurunkan dosis obat tersebut? apakah bs d ganti obat yg lain atau turun menjadi 75 mg per hari? terimakasih . wasialaikum
532,532,1018,hipertensi,/komunitas/topic/hipertensi-65,klau tekanan darah 120/110 apakah hipertensi dan klau tekanan darah 160/70 apakah hipertensi ?
345,345,822,gagal-jantung,/komunitas/topic/jantung-120," , .
bahaya kah otot jantung kaku? apakah seberbahaya dengan penyakit jantung?
makasih "
715,715,235,hipertensi,/komunitas/topic/penyebab-tekan-darah-tinggi-200,",
orang tua perempuan yang sudah berumur 65th mengalami tekanan darah yang tidak turun turun selalu diatas angka 200,setelah konsumsi obat turun sedikit kemudian naik lagi,saya sangat kwatir kalau konsumsi obat terus berpengaruh pada fungsi ginjal ,apakah ini benar ?.peran saya secara medis apa itu tekanan darah tinggi,apa penyebabnya dan bagaimana mencegah dan mengatasin.untuk konsultasi medis lebih lanjut itu kebagian spesialis apa . atas informasi dan saran nya.
"
848,848,2569,serangan-jantung,/komunitas/topic/sakit-perut-125,"   kalo sakit perut dbagian bawah knapa ya?
detak jantung juga lebih cepat."
934,934,2482,serangan-jantung,/komunitas/topic/apa-obat-untuk-sakit-dada-kiri," , saya siddiq berumur 18 tahun . saya sering merasakan sakit pada dada bagian kiri secara tiba tiba dan hal tersebut sudah saya alami sejak sd. namun jika dulu sakit tersebut hanya sebentar berbanding terbalik dengan skrg yang sakitnya lama hilang dan kemudian merasakan pusing di kepala bagian kanan . mohon penjelasann"
815,815,554,serangan-jantung,/komunitas/topic/sesak-di-dada-sama-sesak-jantung-di-saat-bangun-di-pagi-hari," .... nama saya deni umur 30 tahun ... saya sering sakit dada sama jantung setiap bangun pagi haripenyakit ini udah lamaada 1 tahun lebih penyakit ini ga kurung sembuh udah ke  beberapa x tapi tetap seperti initerkadang suka sakit kepala tegang sebelah kiriboleh saya minta saran ny 
"
1247,1247,1414,stroke,/komunitas/topic/akibat-anemia,"  apakah ada hubungan antara anemia dan stoke? setelah mengalami kecelakaan 1 tahun yg lalu,  mengalami anemia dan harus transfusi darah maksimal 2 bulan sekali. dan akhir2 ini dia mengalami stroke sehingga sulit menggerakkan tangan dan kaki nya. apakah ada hubungannya? dan bagaimana cara mengatsinya?
"
29,29,2306,aritmia,/komunitas/topic/sakit-apa-y,saya pernah mengalami nyeri di dada kiri rasanya seperti kesetrum tp hanya sepersekian detik lalu nyerinya hilang.bila sy berbaring ke kiri terasa sakit dan denyut jantung begitu terasa.bila saya tekan pakai jari terasa sakitnya.saya juga sering mengalami kedutan d bagian dekat bahu atau lengan dibagian dada kiri.apakah ini ada kaitannya dgn penyakit jantung atau ada penyakit lainnya?.
372,372,2175,gagal-jantung,/komunitas/topic/benar-atau-salah, apakah benar penyakit lemah jantung dengan kardiomiopati itu sama?
1034,1034,2654,serangan-jantung,/komunitas/topic/apa-boat-sakit-dada-kiri, saya sering sakit didada kiri setiap sampai pergelangan tangan klu ada masala besar humans soloing 
152,152,457,aritmia,/komunitas/topic/hiperkalemia-dan-hipokalemia,"hiperkalemia dan hipokalemia dapat menyebabkan apa , selain aritmia?
"
342,342,2145,gagal-jantung,/komunitas/topic/sesak-napas-46,", umur saya 51 tahun, sudah 5 hati ini saya mengalami sesak napas, sakit di punggung belakang sebelah kanan dibawah belikat terasa menusuk-nusuk. kira"" apa penyebab dan bagaimana mengatasin?  banyak sebelumnya"
223,223,473,aritmia,/komunitas/topic/tiroid-berpengaruh-pada-aritmia-atau-tidak,", saya dila usia 23. sebelumnya saya ke te klinik 24jam dia bilang kalo didenger detak jantungnya mengarah ke aritmia karna ada jeda terus detak lagi terus dirujuk ke  rs.  rs bilang dari hasil lab, saya memiliki tiroid (hipertiroid). tiroid berpengaruh besar ga  ke aritmia? ditambah hampir seharian jantungnya ga stabil. apalagi pas tidur  berasa kayak sleep paralyze. dan  rs ngasih obat propanolol untuk jeda dua bulan sebelum control lagi.   sebelumnya
"
1037,1037,2546,serangan-jantung,/komunitas/topic/infark-miokard-akut-3,apakah makan yang mengandung banyak lemak dapat mengakibatkan penyakit infark miokard akut?
874,874,2749,serangan-jantung,/komunitas/topic/nyeri-dada-n-sesak-nafas,",..
akhir2 ini saya sesak nafas di sertai nyeri dada sebelah kanan,
gimna cara menindak lanjuti penyakit ini ?
mohon penjelasann
terimakasih"
1145,1145,1605,stroke,/komunitas/topic/kecemasan-berlebih-8,"saya penderita hipertensi,....saat ini serangan stroke sangat begitu jadi hal menakutkan buat saya. saya berusaha diet rendah garam, kalaupun satu hari tidak diet tapi saya membatasi asupan makanan yang asin dan berpantang makanan asin. kemudian saya juga sedang diet penurunan berat badan. minum obat hipertensi setiap hari dan penurun kolesterol...perannya apakah, kemungkinan serangan stroke itu masih besar. mengingat saat ini saya belum memulai olahraga, juga asupan gula saya sangat membatasi. mohon penjelasan yang detail mengingat saya sangat takut dan cemas hal ini dipicu beberapa waktu lalu adik ipar saya meninggal diusia 50 tahun karena serangan stroke dengan pendarahan otak. . dan penyakit hipertensi ini merupakan penyakit genetik yang saya bawa dari , kebetulan suami saya juga ada hipertensi, mohon dengan sangat penjelasannter. "
979,979,2823,serangan-jantung,/komunitas/topic/mengapa-jantung-sakit-dengan-tiba-dan-kepala-sakit-saat-marah,"  .
mengapa ya saya selalu tiba"" sakit di bagian dada sebelah kiri?
apakah itu penyakit berbahaya?
dan kepala saya.
kepala saya selalu sakit waktu marah dan sakit itu tidak hilang walaupun marah nya sudah hilang?
penyakit apa itu ya?
dan terakhir.
kalo bintik"" putih pada badan, bintik itu seperti ruam, tapi war putih bukan merah, itu  ?"
142,142,862,aritmia,/komunitas/topic/termasuk-serangan-panik-atau-penyakit-lebih-serius,", saya soleh umur 26thn. awal tahun baru 2019, dada saya berdebar lbh kencang dg tiba2, sbelumnya pernah alami demikian tp beberapa menit hilang. namun beda dg saat itu akhir saya masuk iccu dan mendapat perawatan hingga skrang kadang msh rasakan dada berdebar dan diakhiri dg nyeri dada. pernah tes darah dan rontgen dada, hasil semua normal.pada bulan april disarankan usg jantung. kira2 apakah penyakit saya ini termasuk panik atau lbh parah?
"
299,299,835,gagal-jantung,/komunitas/topic/mengapa-orang-dengan-gagal-jantung-kongestif-sering-kencing-pada-malam-hari,",  mengapa orang dengan gagal jantung kongestif sering mengalami kencing pada mlaam hari / nokturia? apa penyebabnya? mengapa tidak lebih banyak di siang hari daripada di malam hari ? terimakasih"
772,772,993,hipertensi,/komunitas/topic/darah-tinggi-pada-usia-20-tahunan,   berapa banyak persentase penduduk yang mengalami penyakit darah tinggi pada usia 20 tahunan?  sebelumnya
275,275,2161,gagal-jantung,/komunitas/topic/apakah-penderita-gagal-jantung-boleh-berolahraga,",  . teman saya telah difonis mengidap kelainan jantung (gagal jantung) bawaan lahir di usia yg masih remaja. sekarang usianya 20thn,  spesialis jantung sudah menyatakan bahwa teman saya tidak boleh terlalu capek dan beraktifitas terlalu berat. namun saya membaca banyak artikel untuk penderita gagal jantung ternyata masih dibolehkan untuk berolahraga. bagaimana menurut pandangan dari  sendiri? berbahayakah? atau justru malah dianjurkan?
."
431,431,366,gagal-jantung,/komunitas/topic/bertanyac109e8,".  , kalau kaki bengkak terus ditekan tidak balik  ? terus bapak saya juga sesak nafas. terus juga kaki ngerasa pegel . itu  ?
"
1030,1030,533,serangan-jantung,/komunitas/topic/pasien-coma-2,"apakah pasien koma bisa mengalami cardiac arrest?
"
980,980,2606,serangan-jantung,/komunitas/topic/nyeri-dada-di-sebelah-kiri,", saya sudah 2hri nyeri dada di sebelah kiri kira2 knapa yhaa rasannya ssah kali utk brnapas dan bdan trsa cpek, tapi kalau di bawah tidur nyerinny tidak ada, tetapi kalau tidurnny miring rasa sakitnny terasa amat menyakitkan sampai2 mau mati rasanny.it  yhaa ?trimks"
1259,1259,2002,stroke,/komunitas/topic/sakit-di-bagian-perut-bawah-atasnya-mis-v," wr.wb
, sblum sy , nenek saya kena struk, ( penyumbatan pembulu darah ).
jaringan saraf seblah kirinya agak terganggu dan itu mempengaruhi pembuangan air urinnya (bak) jadi tidak maksimal.
skarang dia sedang menderita nyeri pada bagian bawah perut, atasnya mis.v.peran:
apakah itu sebab dari penyakit struk yang dia alami? dan bagaimana cara (minimal) meredahkan rasanyeri di perutnya itu?.terimakasih.
 wr.wb"
591,591,1477,hipertensi,/komunitas/topic/sakit-kepala-115,".
,kepala saya sakit seperti terkena benturan, padahal tidak pernah terbentur.
namun tidak pusing, tapi bila kepala digoyangkan,terasa sakit seperti terkena benturan.
mohon pencerahann, "
269,269,2185,gagal-jantung,/komunitas/topic/pembesaran-jantung,..?? saya didiagnosa mengalami pembesaran jantung..apa obat yg harus saya minum..?? apa obat digoxin cocok dengan pembesaran jantung..kalau cocok dosisnya gimana...
420,420,833,gagal-jantung,/komunitas/topic/apa-obat-sakit-jantung-yg-pakai-cincin-dua-dokter,"   ada saudara saya sakit jantung yg sudah pasang cicin dua..
dan apakah ada hubungan dengan kegairahan sexsu"
225,225,2381,aritmia,/komunitas/topic/sesak-nafas-tiba2,",   umur 15 tahun pria. 1 tahun lalu ketika saya bermain basket saya merasa capek dan berhenti bermain 10 menit berselang ketika berdiri dan berjalan tiba2 jantung saya serasa mau copot berdetak kyk gendang cepat dan agak sesak nafas kalo tidak diatur tapi sudah menganggu sekali 1 jam lamanya didalam pikiran saya udah pusing mau pingsan dan serasa mau mati aja setelah itu membaik dan saya cek ke  di periksa detak jantung kurang normal atau cepat sekali tapi tidak ada lemah jantung atau sebaliknya. tapi hampir setiap minggu atau kadang2 lagi diem2 tiba2 jantung saya berdebar kemana2 sangat cepat dan sesak nafas setelah saya menenangkan diri akhirnya membaik, sampai skrg lagi duduk2 ataupun diam diam tiba2 kambuh. olahraga hanya 5 menit aja udah sesak nafas + jantung mau copot. ada solusinya? saya merasa tidak nyaman sekali. thanks"
157,157,2403,aritmia,/komunitas/topic/nafas-dan-detak-jantung-tak-enak-setelah-hubungan-sex,"  
teman saya sering mengeluh setelah sex pada 24 jam setelahnya dalam keadaan dia akan tidue dia sering mengalami seperti sesak dan jantung tiba"" cepat atau lambat , ada apakah ? dan merasa ketika tidur rasa tak enak sperti dia akan mati ucap nyadia punya riwayat asam lambung dan gas lambung
adapakah ?dia pernah ekg cek gula darah , kolestrol , asam urat dan kadar oksigen darah semua normaltetapi pernah di cek jantung walau normal pny sedikit maslah dengan aritmaterkadang detak jantung sperti berhenti terlebih kalau dia selesai hubungan sex , tapi klo setelah sex terasa saat dia akan tidur"
642,642,561,hipertensi,/komunitas/topic/hubungan-antara-asam-lambung-dengan-hipertensi,", umur saya 39 tahun, asam lambung saya naik sudah 3 minggu terakhir dan sudah berkosultasi dengan  di kantor saya dan dan telah diberi kan obat antasida dan ranitidin, peran saya semenjak saya mengalami asam lambung naik dalam seminggu tensi saya naik menjadi 130/80, dan kemarin saya tensi kembali malah naik lagi menjadi 140/90, padahal biasanya normal , apakah pengaruh asam lambung yang naik atau karena konsumsi obat ??, mohon bantuannya, "
336,336,2202,gagal-jantung,/komunitas/topic/penyakit-hypertiroid-atau-jantung," ..saya punya riwayat penyakit hypertiroid dengan keringat yang sangat sangat banyak.. contoh, keringat di tangan & kaki saya bisa sampai bercucuran, alhamdulillah sekarang sedang tidak berkeringat. yang mau saya kan ada 2. pertama,  kalau sedang berkeringat telapak tangan terasa panas? seperti di dekatkan ke api. keadaan ini sangat tidak nyaman untuk saya, apalagi untuk bekerja. ke dua, apakah hypertiroid berhubungan dengan penyakit jantung? saya sering lemas sampai bicara pun tak mampu apalagi menggerakan badan (mati rasa). dan lemas nya itu bisa sampai 3-5 jam, mata terpejam (seperti orang pingsan) tapi sebenarnya sadar hanya saja tidak bisa membukakan mata (sering dikira pingsan). kadang merasakan nyeri di dada dan sesak napas.  sebelumn. was."
877,877,2560,serangan-jantung,/komunitas/topic/nyeri-dada-saat-cemas, saya dari sekarang nyeri dada mampet di ekg denyut jantung 107 itu penyakit apa 
687,687,1126,hipertensi,/komunitas/topic/beda-obat-darah-tinggi-candotens-amlodipin-captopril,", saya bingung dengan obat darah tinggi yg ada di rumah.
nenek saya konsumsi obat darah tinggi candtens.
sedangkan orang tua saya konsumsi amlodipin.
sedangkan di kotak obat di rumah saya menemukan obat captopril.
saya cek di internet, oabat2an ini semuanya berfungi untuk penyakit darah tinggi.apa perbedaan dari ketiga obat ini & kondisi seperti apa yg memerlukan obat ini (mohon dijelaskan dari segi masing2 obat)
....."
289,289,2177,gagal-jantung,/komunitas/topic/apakah-saya-lemah-jantung-2, saya usia 24 tahun..setiap hari hampir 24 jam telapak kaki dan tangan saya selalu berkeringat.jika malam saya merasa kedinginan pada telapak dan kaki saya yang basah itu.saya mudah lelah walaupun tidak beraktifitas...setiap naik tangga Ã¢Â walau cuma Ã¢Â lima anak Ã¢Â tangga saya selalu sesak nafas.dan merasa degdegan. kondisi itu akan segera normal kembali kalau saya duduk sekitar 10 sampai 20 menit.sudah 1 tahun belakangan saya juga setiap hari merasakan mual dan pusing.apakah iti tanda gejala lemah jantung ?terimakasih
631,631,240,hipertensi,/komunitas/topic/tekanan-darah-12756-normalkah,",saya umur 27 tahun, biasanya tekanan darah saya sekitar 100/70 an, kmrn kolestrol sempat sangat tinggi, setelah itu saya kontrol kolestrol dan saat ini kolestrol diangka 107, tapi tekanan darah saya 127/54 apakah ini normal? apa saya sudah perlu ke untuk konsul ini? terimakasih
"
380,380,796,gagal-jantung,/komunitas/topic/vertigo-dimana-badan-terasa-berat-dan-cepat-capek-pasca-pengobatan-tbc,", ini masih tentang ibu kami yg sulit berjalan,kami sudah membawa ke rumah sakit. ibu kami itu bisa berjalan sebenarnya, beliau di rumah berjalan dng merambat tembok, dan beliau kalau dada keatas terasa ringan juga kepala tdk angguk-angguk, beliau berani untuk berjalan, karena jika beliau berjalan tanpa topangan kepala(topangan ke tembok krn cepat capek) ka terasa seperti mau jatuh. kaki beliau tidak sakit jika berjalan cuman bagian dada keatas(hingga kepala) terasa berat serta kepala yang ka terasa kliyengan seperti vertigo pasca pengobatan tbc. dari rumah sakit beliau dikasih piracetam 800gr, betahistin 6gr,flunarizine 5gr,mecobalamin 500gr dan analsik. dimana kesemuanya setelah beliau minum hanya mengurangi tegang pada keher, untuk berat yg terasa dr dada keatas, cepat capek dan angguk-angguk kepala masih ada... obat apa yg sekiranter anjurkan dng kombinasi diatas. terimakasih
"
1087,1087,1906,stroke,/komunitas/topic/jari-mati-rasa,"jari telunjuk dan jempol tangan saya akhir-akhir ini mati rasa, kira-kira apa penyebabnya yaa "
964,964,926,serangan-jantung,/komunitas/topic/hasil-ekg-9,"   kemarin saya ekg jantung diprodia dan hasilya ada banyak yaitu
sinus bradikardi old antero septal mci early repolarisation le teral .kira kira itu diagnosis apa ya disertai dada kiri seperti di tekan benda berat menjalar ke tangan dan sesak nafas tks
"
487,487,805,gagal-jantung,/komunitas/topic/kadar-kalium-pada-penyakit-chf,",nama saya martha  ,mengapa kadar kalium pada penderita chf rendah ?
 "
427,427,778,gagal-jantung,/komunitas/topic/batuk-dahak-pada-penderita-jantung,". bapak saya penderita penyakit jantung sejak 5 tahun yang lalu. umur 63tahun berat 65kg tinggi 168cm. sudah di ring sebanyak 4 ring. beliau mengalami serangan jantung pada bulan juli 2018 ini dan dinyatakan pompa jantung lemah. bapak cukup sering terbatuk bisa 3-5x dalam 1 jamnya selama 4 bulan ini. jenis batuk berdahak tp tidaj berwarna. efek apa ya batuk ini ? apakah perlu pengecekan pada paru2 juga?
"
1191,1191,1875,stroke,/komunitas/topic/jatuh-karena-apa,",  . nenek saya tadi pagi dan  barusan jatuh. dia punya darah tinggi. tapi apa jatuhnya karena darah tinggi atau yg lainn? soalnya sebelumnya belum pernah jatuh. ka kepalanya pusing terus jatuh."
956,956,2710,serangan-jantung,/komunitas/topic/nyeri-pada-dada-sebelah-kiri,"  mengenai rasa nyeri pada dada sebelah kiri, nyerinya tidak setiap saat datang hanya sekali-sekali saja dan berlangsung tidak terlalu lama sekitar 30-90 detik saja tapi nyerinya bikin sesak rasanya badan seperti terkancing kayak tidak bisa bergerak...
kira-kira itu sebuah gejala penyakit? atau apalah...?
mohon penjelasann..."
1282,1282,1229,stroke,/komunitas/topic/stroke-105,"   terkena stroke pertama cuma tangan kiri saja setela d obati suda tangan nys membaik. jelang lebih kurang 2 bulan kini kenah lagi bagian kanan tangan dan kaki susah di gerakkan jdi ngak bisa berjalan lgi. apa akan ada serangan lagi ? dan apakah masi bisa di sembuh kan  sebaik nya dengan cara apa .trimakasih banyak sebelum n w
"
508,508,385,gagal-jantung,/komunitas/topic/sakit-jantung-bengkak,",  mertua saya sakit jantung bengkak gimana ya solusinya usia sekitar 60an.. 
"
213,213,2289,aritmia,/komunitas/topic/aritmia-8, taun lalu saya didiagnosa kena tiroid dan pada saat cek up sya diketahui kl irama jantung saya sedikit bermaslah sering berdebar kencang tanpa sebab meski tidak melakukan aktifitas apakah itu termasuk aritmia juga?dan apakah berbahaya?
101,101,2299,aritmia,/komunitas/topic/jantung-berdetak-tidak-stabil,"
 yaa jantung saya detak nya tidak stabil, kadang cepat banget, disertai cegukan gitu?
trimakasih."
984,984,2512,serangan-jantung,/komunitas/topic/apa-nama-jenis-penyakit-ini," tolong bantu diagnosa penyakit saya , saya merasakan sakit didada sebelah kiri hingga kebagian punggung belakang , saya merasakan sakit sudah lebih dari 24 jam , awalnya tidak terlalu sakit dan masih bisa bergerak seperti biasa , tapi sekitar 25 jam makin sakit  , tangan dan kaki saya mulai lemas , kalo bergerak sakit , dan buat bernapas sangat sulit dan sakit sekali , semua tulang saya terasa lemah , namun yg paling sakit dada bagian kiri hingga ke belakang . apakah saya bisa didiagnosis dengan penyakit paruÂ² atau jantung ?"
43,43,2358,aritmia,/komunitas/topic/konsul-p-aritmia," doc.
nama saya alfadzry, umur saya 22thn,saya seorang mahasiswa smester akhir disalah satu universitas di bdg..
saya sering mengalami gejala aritmia..
saya sering membaca artikel ttg penyakit aritmia itu..yg saya rasakan pada dri saya..memang kondisi saya sperti itu..peran saya..apakah dengan berolahraga teratur penyakit aritmia akan sembuh total atw disertai denga penangana medis..
tp saya terlihat sehat dimata orang2..tp terkadang saya merasa ketidaknyamanan pada detak jantung ini..sering terlalu cepat atw lambat juga..terkadang pusing,hingga merasakan seperti mau pinksan..minta solusinya yah doc..mdah2an saya bisa sehat seperti org2 normal lainnya..
terimksih doc.."
637,637,1291,hipertensi,/komunitas/topic/leher-bengkak-dan-kaku, sejahtera . . beberapa hari lalu leher sebelah kanan saya terasa nyeri dan tidak nyaman tetapi tidak ada benjolan sama sekali. lalu hari ini karena leher saya nyeri saya coba urut atau pijat ringan tepat di daerah nyeri nya. tidak lama leher saya jadi bengkak dan terasa kaku setelah saya urut. menurut  apakah ini hal yang wajar atau tidak? sebab saya tidak mengalami sakit spesifik belakangan ini tetapi 2 minggu sebelum nya kaki dan tangan saya terluka cukup parah karena kecelakaan sepeda motor. tolong di jawab  apa penyebab dan akibat nya? . tuhan yesus memberkati
1239,1239,1724,stroke,/komunitas/topic/obat-untuk-stroke-ringan-ya-g-susah-bab,"...  ...
 menderita stroke ringan dan susah gerak bagian kanan,  sulit skali bab ... jika ingin bab perutnya sakit sekali ..
apa saja yg harus dikonsumsi ?
trma kasih .."
188,188,2363,aritmia,/komunitas/topic/obat-batuk-dan-aritmia,"  menderita aritmia/ves couple. saat ini sedang batuk dan pilek. trus ke  dan dikasih obat prohistin/ofloxiacin 200 mg 2x1, levofront syrup 4x1 sen teh, mucos/ambroxol 3x1 dan intunal-f 3x 1/2 . setelah minum obat batuk pilek nya berkurang, tapi bila  berjalan sebentar saya merasa lelah sekali dan nafas nya tersengal sengal dan detak jantung nya tidak beraturan selama beberapa saat. bagaimana menurut . mohon saran dan masukanya. ."
19,19,448,aritmia,/komunitas/topic/jantung-sering-berdetak-mengejut-tiba2--apakah-normal--," saya merasakan jantung saya sering berdetak mengejut sekali2, apakah itu normal ? atau ada gejala penyakit jantung ?
"
1171,1171,1509,stroke,/komunitas/topic/pengobatan-stroke-hemorogik,"
,hari ini hari 7 kakak saya dirawat di ruang unit stroke,kondisinya sekarang alhamdulillah tekanan darah sudah stabil,dari yg biasanya sampai 200an,sekarang agak stabil di angka 140 s.d 150 an. kondisi kesadaran juga lumayan baik,walaupun banyak tidurnya,tapi ketika di respon dan jawabannya baik,komunikasi juga baik,kadang bs ngobrol sampai bbrp menit,walaupun ngomongnya masih pelan2. untuk selang makanan juga sudah tidak lagi dipasang krn sudah bisa menelan makanan sendiri,walaupun masih berupa bubur sumsum. umur kakak saya 40 tahun. gumpalan darah karena pecah pembuluh darah 30cc. peran saya,bagaimana menurut  perkembangan kakak saya?
walaupun terlalu dini,bagaimana prognosis kesembuhannya? bahayakah gumpalan darah 30 cc yg masih di otak? dan upaya apa yg seelanjutnya harus dilakukan?"
