,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,category,url,question
1497,1497,2510,2510,serangan-jantung,/komunitas/topic/gejala-apa-ini-dok-jantung-stroke-atau-hipertinsi,", tiba tiba  merasa lemas, tangan kaku dan dingin disekitar kaki dan telapak tangan dan juga sesak dan nyeri di dada kirinya, dan itu berlangsung 10 menit.Ã¢Â  itu gejala penyakit pa ? dan bagaimana pertolongan pertama yg bisa dilakukan dirumah sambil menunggu ambulan?trims "
1125,1125,2138,2138,gagal-jantung,/komunitas/topic/bengkak-kaki-dan-wajah,",  ,,
kakak perempuan saya umur 21 tahun, dia mengalami pembengkakan wajah dan kaki, wajah nya seperti ada cairan nya dan di buat jalan sakit, sudah dibawa ke  ka flu tulang, tetapi sudah 3 minggu berobat masih saja bengkak, dan sakit,,
dan kondisinya makin memburuk kalau makan telur ataupun makan daging ayam dsb. pdhal  mengatakan tidak ada laranga makan apapun hanya saja tidak boleh minum terlalu banyak,
kira-kira gejala apa , dan kami harus bagaimana"
614,614,414,414,gagal-jantung,/komunitas/topic/kaki-bengkak-krena-penyakit-gagal-jantung," ,   .  mngidap penyakit gagal jantung, kaki nya bengkak . apakah akan semakin parah jika melakukan aktivitas ? karena msih kuat melakukan aktivitas sehari hari, dan mungkin jenuh kalo hanya tidur dan duduk . mohon dijawab , terimakasih Ã°ÂÂÂ
"
1306,1306,2319,2319,aritmia,/komunitas/topic/detak-jantung-tak-teratur,"sy 34tahun,apa yg menyebabkan detak jantung tidak teratur? blakangan ini dalam 1hari pasti ada detak tak teratur yg terjadi sebanyak 1~3 kali sehari. bahkan disaat sy rebahan di tempat tidur. tidak nyeri, hanya jantung berdetak cepat skali slama beberapa detik. kadang saat rebahan, bbrapa menit kmudian, hidung seperti mampet dan sesak..sy tidak merokok. terimakasih penjelasannya"
1122,1122,2135,2135,gagal-jantung,/komunitas/topic/bagi-info-nya-dokter,",
beberapa hari ini tangan saya susah dikepal,setelah saya perhatikan ternyata kendalanya ada di pangkal jemari tangan saya.
semua pangkal jemari tangan saya seperti menebal dan mengeras,dan saat saya perhatikan lagi ,semua jemari saya mulai membesar.awalnya saya pikir kebas biasa karena bekerja,tetapi sekarang jemari kaki saya sudah mulai ikut juga.
jadi tolong ,bagi infonya mengenai hal yang saya alami.
terimakasih sebelumnya."
1701,1701,2714,2714,serangan-jantung,/komunitas/topic/nyeri-dada-terus-menerus,", mo  sudah 2 hari ini sy mengalami nyeri dada seperti ditekan benda keras disertai lemas, demam, dan mual.kadang terasa pusing juga.nyeri tsb berlangsung hingga skrg, sudah buat istirahat tidur namun bangun masih terasa.kira2 knp yaa  ? mkasii"
275,275,0,0,penyakit-jantung-bawaan,/komunitas/topic/saya-ingin-tau-maksut-yang-di-tuliskan-seorang-dokter-di,"situs. solitusatrio-ventricular connection. concordanceventriculo-arterial connection. discordancepulmonary vein. all pv to la?chambers. balanced ventricleinteratrial septum. intactinterventricular septum. vsd inlrt meluas ke outlet 23mm l to r shuntmitral valve. normaltricuspid valve. normalaorta. ao keluar dari rv, ao di kanan papulmonary artery. small paaortic arch. left archtapse . 1,2 cm
"
1414,1414,2427,2427,serangan-jantung,/komunitas/topic/sakit-dada-sebelah-kiri-75," , akhir"" ini dada sebelah kiri atas saya sering agak sakit, seperti cekit"" nyeri...tidak terasa skit jika menarik nafas panjang/ pendek, hanya saja ketika tidak sedang melakukan aktifitas terasa cenut"".. kadang terasa, kadang hilang ..saya tidak merokok+ vape 3 bln trakhir ini.."
1811,1811,2824,2824,serangan-jantung,/komunitas/topic/tentang-pernapasan,"selamat sianv ..
saya ada keluhan dada kanan saya serasa agak nyeri dan nafas saya terasa pengap kadang ngos ngosan gitu... knapa y ? apa yg harus saya lakukan ? itu saya alami sejak kemarin siang sampai sekarang ."
1258,1258,2271,2271,aritmia,/komunitas/topic/kenapa-debaran-jantung-terkadang-bisa-terasa-tidak-normal-sehabis-bekerja-keras,",  sedikit,.
saya sering merasa debaran jantung saya tidak normal yg membuat saya mnjadi pusing dan sulit menarik nfas setelah bekerja agak keras atau terkadang tanpa bkrja keras sklipun,. bisa tolong jlaskan  dan apa sebabnya?
atas penjelasannya, ,."
1540,1540,2553,2553,serangan-jantung,/komunitas/topic/asam-lambung-109,"slmt ,sy agung usia 40 thn sdh lm menderita asam lambung yg mau sy kan apakah bisa asam lambung menjalar ke dehidrasi disertai jantung berdebar kencang dan sakit kepala dan bahu sblh kiri,tks"
1263,1263,2276,2276,aritmia,/komunitas/topic/kedutandenyut-jantung-tak-normal,"

saya agung umur 28 tahun.
akhir akhir ini dad saya berasa ada kedutan ataupun denyutan yg sekali sekali tetapi ngeganggu banget..
saya bukan perokok setiap pagi melakukan jogging 30 menit dan setelah joging denyut nadi berkisar 96 kali per menit ketika dalam keadaan normal ataupun aktifitas biasa denyut nadi 60 kali per menit..
gejala apa  yang terjadi karena denyutan di dada itu dan jika harus konsultasi ke  apa

terimakasih"
1144,1144,2157,2157,gagal-jantung,/komunitas/topic/gagal-jantung-4,  mu  klw bayi yg kena gagal jantung apa perlu di oprasi ataw tidak ya mohon jawaban nya
103,103,2087,2087,stroke,/komunitas/topic/apa-saja-gejala-aneurisma,", .
saya seorang mahasiswi umur 21th, sudah hampir 3 minggu ini saya sering mendapatkan pusing yang secara tiba tiba. biasanya saya pusing hanya ketika banyak pikiran saja. pusing nya di bagian tengah dalam kepala tepat di belakang mata dan hidung dan kepala terasa panas. terkadang ketika pusing membuat mata saya lebih buram dan begitu sensitif terhadap cahaya terutama cahaya tv dan lampu ruangan. bahkan terkadang seolah membau darah di sekitar hidung dalam tapi tidak mimisan. ibu dan nenek saya meninggal muda karena adanya pembuluh darah di otak yang pecah semacam aneurisma otak. apakah saya juga dapat diindikasikan memiliki aneurisma otak juga? bagaimana gejala dan cara menghindari agar aneurisma di otak tidak pecah?saya mengambil kesimpulan melalui artikel2 indonesia bahwa di indonesia sendiri kewaspadaan terhadap aneurisma terutama aneurisma otak masih sangat kurang. informasi berbahasa indonesia mengenai penyakit ini pun masih susah saya temukan. apakah penanganan medis di indonesia mengenai aneurisma otak ini juga masih kurang?"
1566,1566,2579,2579,serangan-jantung,/komunitas/topic/obat-tulang-punggung-dan-perut,"hi saya menderita sakit magh dan sering sakit pada tulang punggung sampai terkadang membuat saya merasa sesak nafas, saya pernah dinyatakan usus buntu lalu di operasi tapi setelah itu sakit saya masih sering kembali datang.mohon penjelasan ttg penyakit yg saya alami dan obat untuk ini, hormat saya"
1179,1179,2192,2192,gagal-jantung,/komunitas/topic/keluhan-pada-jantung," ,  pasangan sya memiliki kelainan pda jntungnya stlah dpriksa trnyta jntungnya mengecil apakah pnyebab it smua ? apakah it sangat berbahaya bagi kselamatnnya? dn bgaimna cra mengatasinya?"
1668,1668,2681,2681,serangan-jantung,/komunitas/topic/gelisah-dan-lelah," , .mengapa badan sering saya sering merasakan lelah,pusing setiap hari,jantung berdebar-debar kadang kadang lemah dan merasa gelisah.kira kira penyakit apa  yang saya alami."
995,995,870,870,aritmia,/komunitas/topic/kenapa-orang-indonesia-percaya-masuk-angin,",  sih orang indonesia percaya dan bersihkeras bahwa masuk angin itu adalah sebuh penyakit. bahkan mereka percaya masuk angin itu benar-benar ada angin yang masuk ke badan. padahal sudah saya coba jelaskan kondisi medis yang terjadi dibalik ""masuk angin"" kepada mereka. tapi mereka tidak percaya.
"
573,573,373,373,gagal-jantung,/komunitas/topic/apalah-chf-disebabkan-jantung-bengkak-apakah-bisa-di-sembuhkan,",  ingin . apakah chf disebabkan karena jantung bengkak? apakah jantung bengkak bisa di sembuhkan kembali.? karena saya memiliki jantung bengkak sejak kecil.
"
650,650,450,450,aritmia,/komunitas/topic/sesak-napas-06cb55," , saya setelah meminum obat dari klinik  . saya kok tiba"" rasanya dada sesak napas , dan berdebar . itu  
"
1687,1687,2700,2700,serangan-jantung,/komunitas/topic/sendawa," ! saya klau lg stress dada sering sakit kadang dada sebelah kiri dan kadang dada bagian tengah, klau lg sakit saya minum statorvastatin dan rasa sakitnya reda dan bersendawa terus. apakah nama penyakitku ?  atas jawabannya"
976,976,851,851,aritmia,/komunitas/topic/jantung-tiba-tiba-mati-fungsi,"saya sering kali mengalami dimana detak jantung saya se akan akan hilang tapi hanya 1 detik-an saja , seolah olah mau mati . kejadian itu sering sekali terjadi. dan saya merasakannya betul. itu saja yg saya rasakan selebihnya saya tdk pernah merasakan apa-apa .
"
423,423,148,148,penyakit-jantung-koroner,/komunitas/topic/gimana-mekanisme-nyeri-dada-terjadi-saat-braktivitas-dan-berhenti-saat-istirahat-infark-miokard," bagaimana mekanismenya nyeri dada bisa terjadi hanya saat beraktivitas dan saat beristirahat nyerinya hilang? pasien infark miokard.
"
334,334,59,59,penyakit-jantung-bawaan,/komunitas/topic/diagnosa-dokter-tentang-jantung-bocor,".. 1 minggu yg lalu sy mmeriksakn ank sy 7 bln k  umum.. awalny sy brniat mmeriksakn bapilny, tp sampai dsana  blg kalo ad kbocoran jntung pd ank sy.. sy sgat kget, tp ny blg, slama nangisny msih kenceng, mnum susuny bny nnti akan mnutup sndr.. gmn nrut ?
"
519,519,244,244,penyakit-katup-jantung,/komunitas/topic/apa-itu-vci,... sy ibu tia umur 41 tahun. mengalami bengkak ditungkai dan kaki.. kata  itu udem. dan didiagnosa cvi.. apa itu cvi?? bahayakah?? hasil lab trombosit 429 ribu..
1592,1592,2605,2605,serangan-jantung,/komunitas/topic/dada-sakit-9,"hy  kalo dada kiri dan kanan kadang sakit  ya? dan sesak napas juga, kadang"" lulu hati sakit,  "
1807,1807,2820,2820,serangan-jantung,/komunitas/topic/jantung-3,".. nama saya aqila umur 18 tahun..
saya ingin konsul, saya sering merasakan sakit di dada kiri saya, namun tidak jarang juga dada bagian tengah dan kanan pun terasa sangat sakit, kadang sampai ke punggung dan ulu hati saya pun terasa sangat sakit, sampai sesak nafas, biasanya kalo sakitnya sedang terasa saya selalu memukul dada saya, tapi rasanya jauh lebih sakit, saat sakit berdiri pun saya sambil memegang dada, namun direbahkan pun terasa semakin sakit .
dan ketika saya sedang memikirkan banyak hal, merasa kaget, mendapat bentakan, atau merasa sakit hati dada saya terasa semakin sakit .
saya juga sempat periksa ke  spesialis jantung pembuluh darah, hasil rekamannter itu memvonis saya menderita penyakit jantung bawaan lahir..
beberapa bulan kemudian saya coba periksa rontgen, namun saat itu hasilnya normal2 saja, tidak ada gangguan, hanya kata  saya menderita lambung bronkitis kronis..
menurut  bagaimana kondisi saya? dan cara apa yang harus saya lakukan?"
530,530,330,330,trombosis-vena-dalam,/komunitas/topic/apakah-trombosis-bisa-sembuh,", . punggung kaki saya terasa sakit dan terdapat memar merah dan sering merasa vertigo. setelah perjalanan jauh kemaren. saya cari di internet ka itu gejala trombosis, apakah trombosis bisa sembuh dengan sendirinya?"
509,509,234,234,penyakit-katup-jantung,/komunitas/topic/penderita-katup-jantung-mandi-air-dingin,", sudah dua bulan ini saya menderita sakit katup jantung. ada beberapa orang yang menasehati saya agar tidak mandi pakai air dingin dan tidak minum es, karena akan memperparah kondisi jantung. apakah hal ini benar ?"
288,288,13,13,penyakit-jantung-bawaan,/komunitas/topic/nafas-nggak-plong,",izin  ya, saya mengalami nafas tersedak sedak sepertinya sejak usia saya 10 tahunan , dan sekarang usia saya sudah 30 th,pd usia saya yg sekarang nafas tersedak saya lebih berat dan menyiksa sekali..dan juga , punggung saya sakit dan linu yg kadang rasa linu itu berpindah dr kanan ke kiri, bgtu sebaliknya..oh ya !yang paling saya herankan juga,  setiap saya bangun tidur rasanya pengin ngeluarkan ingus , setiap pagi bahkan sampe saya tidur lg ingusnya ada terus namun ingus ini kental ( tidak meler meler ).sebetulnya saya mengidap penyakit apa yah ?
"
154,154,1044,1044,stroke,/komunitas/topic/sakit-tenggorokan-448,",bapak saya sakit tenggorokan.awalnya tdk ada gejala apa"",tiba"" sakit, dibuat mkn dan minum g bisa masuk,pasti kembali lagi kalau g lewat hidung ya lewat mulut.saat q  g sakit sebenarnya,cuma tdk bisa dmasukin makanan,suara nya pun berupah kayak orang pilek.apa gara"" minum jamu ya,soalnya beberapa hari sebelumnya beliau minum jamu jarak 3hr minum selama 3x,jamu jago namanya,karena beliau kena gatal"",makanya minum jamu gatal"".mohon solusinya
"
97,97,696,696,stroke,/komunitas/topic/bagaimana-mengatasi-seseorang-yang-suka-berbicara-sendiri-akibat-sehabis-jatuh,", .kemarin baru saja  jatuh di kamar mandi dan kepalanya terbentur. saya tidak tau bagian mana yang terbentur, karena waktu itu saya sudah menemukan dalam keadaan berbaring.setelah sadar  menjadi ling-lung. besoknya beliau menjadi suka berbicara yang tidak masuk akal. apa penyebab utamanya? dan bagaimana solusin? apakah ini harus dibawa ke rumah sakit jiwa/psikiater?
"
688,688,488,488,aritmia,/komunitas/topic/aritmia-pvc-susah-hilang,".. saya divonis  aritmia pvc sudah hampir 6 bulan saya rutin minum bisoprolol. tapi setiap harinya detaknya masih suka terasa meski tidak sering. mungkin hanya 4-5 kali . saya sudah usg dan hasilnya jantung saya normal ngga ada masalah. tapi kenpa aritmianya masih sering terasa, apakah kemungkinan ada penyakit lain?  .
"
207,207,286,286,stroke,/komunitas/topic/demam-saat-dan-setelah-kejang-,"  ,  menderita kejang pasca stroke tapi kejang hari ini tu  disertai demam, setelah selesai kejang dia juga masih demam padahal biasanya kalo kejang enga demam . ini sebaikny bagaimana ?
Ã¢Â 
"
1085,1085,960,960,serangan-jantung,/komunitas/topic/bahu-sebelah-kiri-sakit-dada-sebelah-nyeri-sakit-nafas-sesak-deman,"Ã£ÂÃ¢Â , siang malam ibu dan bapak , semoga ibu bapak  selalu sehat & bahagia aminnn
 menyakan penyakit bapak saya, terakhir keluar dari rumah sakit, kata nya  kena serangan jantung , tapi badannya masih sekuat dan suaranya masih keras, 1 hari setelah keluar dari rumah sakit ,  merasakan kepala sakit , dada sakit, nafas sesak , bahu sakit dan deman, untuk bicara aja susah,Ã£ÂÃ¢Â  dibawa ke rumah sakit lagi s ngak mau di rawat , mohon bantuanya penyakit apa yang diderita sam , dan bagaimana pengobatan yang seharusnya saya lakukan ? mohon bantuanya penjelsanaya , atas bantuan kami ucapakan 
Ã£ÂÃ¢Â 
warm regard
yakri firdaus
Ã£ÂÃ¢Â 
Ã£ÂÃ¢Â 
Ã£ÂÃ¢Â 
Ã£ÂÃ¢Â "
1257,1257,2270,2270,aritmia,/komunitas/topic/sakit-apa-ini-33,",aku tasya. aku , akhir"" ini detak jantung aku berasa ga teratur dan itu bikin dada aku nyeri & sesak. kadang ngerasa suka berhenti tiba"" lalu normal lagi & itu aku rasain saat tidak melakukan aktifitas apapun. tapi saat aku lakukan nahan nafas, sesak pun berkurang selang bererapa detik detak jantung aku ubnormal lagi. apakah itu termasuk serangan jantung ringan ? kira"" apa penyebabnya & bagaimana cara menanganinya? "
1187,1187,2200,2200,gagal-jantung,/komunitas/topic/effek-samping-chf,"dear doc, saya (pria 68 thn) baru saja menderita chf dan dirawat selama 4 hari.belakangan ini sering terasa seperti ada angin bergemuruh ditelinga kiri saya, apakah ini ada hubungannya dengan chf yg saya alami ? bagaimana cara mengatasinya ? saya masih rutin konsumsi concor 2,5 mg dan candesartan 4 mg setiap hari.Ã¢Â  makasih ya doc atas tanggapannya.. amboden"
398,398,123,123,penyakit-jantung-koroner,/komunitas/topic/pemasangan-ring-jantung-2,", bagaimana kondisi tubuh setelah pemasangan ring??
"
1688,1688,2701,2701,serangan-jantung,/komunitas/topic/gejala-maag-atau-jantung,"mau tan,,, seminggu yang lalu sy mgalami nyeri di uluh hati, mual smpe muntah n mencret, sy pikir psti maag (seumur bru merasa sprti ini) slama 2 hri bru mrasa baikan hnya dgn byak minum air putih n istrhat, tp stelah itu sya mrasa nyeri di dada n napas sy kdang trasa sesak,, ad artikel yg sy bca jd takut apa munkin ini juga gjla jntung,,"
157,157,1567,1567,stroke,/komunitas/topic/setruk-tdr-terus,"mlm , kmrin sy adh knsul soal ini k alo  mngnai mmh sy yg mnderita stroke n udh 2x d rwat d rs tp skrg mlh tdr terus,  mnyarankn untk k rs lg, sy sdh bw mmh sy k rs tp rs mnyarankn untk plng lg, wlpn kndsi mmh tdr trs n msh pk selang ngt, yg sy ga ngerti knp klo d rs bngun tp d rmh tdr trs n ngorok, d ksh mkn, mnm n mnm obat lwt ngt batuk n sprti k sakitan, sdh d ajakin ngbrol n d grak2in kaki ny msh sj tdr, brbeda dg d rs yg bangun melek krn itu d pulangin lg tp d rmh tdr lg terus mnerus stiap hri,, sbtulnya itu knp y , mhn saran n pncerahann, terimaksh"
108,108,1013,1013,stroke,/komunitas/topic/bagaimana-cara-mengonsumsi-bawang-putih-dan-kunyit-untuk-penderita-stoke,"bagaimana jika bawang putih dan kunyit di jus lalu ditambahkan madu?apakah baik dikonsumsi penderita stroke?
"
222,222,725,725,stroke,/komunitas/topic/stroke-129,".  , bapa saya sebulan yg lalu masuk rs karena stroke, di rawat seminggu di rs tersebut, udah sempet di scan juga dan ternyata ada penyumbatan di otak kanan kirinya, kendala bapa banyak sekali, sulit berbicara, gak bisa jalan sama sekali, badannya lemes, cuma bisa berbaring di tempat tidur dsb, seminggu di rs ada perubahan dan sedikit membaik, sedikit"" bisa jalan walaupun masih pegangan, udah bisa ngomong lagi walaupun belom normal, tapi hari minggu kemarin bapa makan nasi goreng, dan paginya bapa sakit seperti awal lagi, bahkan bisa di bilang lebih parah di banding sebelumya, saya mesti gimana ? obat yg dari rs masih suka di minum, saya bawa bapa ke rs lagi atau di terapi atau gimana?
"
1361,1361,2374,2374,aritmia,/komunitas/topic/aritmia-atau-kelainan-jantung-lain,"terimakasih  atas jawaban  tentang peran saya sebelumnya mengenai (gerd). lagi .
setelah saya di diagnosa asam lambung naik sebulan yang lalu, sekarang detak jantung saya tidak stabil.
dalam keadaan istirahat, nadi saya per menit lebih dari 106. bahkan waktu saya bangun tidur dan keadaan tidur (pas saya bangun malam2).setiap kumat pasti jantung berdetak dengan kencang dan nadi lebih dari 106/menit.
disusul rasa pusing, keringat dingin, menggigil, lemas, pandangan blur, mulut pahit dan kering (selalu ingin minum) dan cemas.mohon untuk  memberi penjelasasan tentang penyakit saya dan solusinya.
apakah memang ada kelainan dengan jantung saya ?
apakah implus elektrik tidak bekerja dengan baik ?"
